src_url,english_names,japanese_names
https://en.wikipedia.org/wiki/Yukio_Hatoyama,Yukio Hatoyama,鳩山 由紀夫
https://en.wikipedia.org/wiki/Uesugi_Kenshin,Uesugi Kenshin,上杉 謙信
https://en.wikipedia.org/wiki/Rokkaku_Yoshitaka,Rokkaku Yoshikata,六角 義賢
https://en.wikipedia.org/wiki/Kazuya_Kamenashi,Kazuya Kamenashi,亀梨 和也
https://en.wikipedia.org/wiki/Keiichiro_Koyama,Keiichiro Koyama,小山 慶一郎
https://en.wikipedia.org/wiki/Papaya_Suzuki,Hiroshi Suzuki,鈴木 寛
https://en.wikipedia.org/wiki/Namie_Amuro,Namie Amuro,安室奈美恵
https://en.wikipedia.org/wiki/Imai_Eriko,Eriko Imai,今井 絵理子
https://en.wikipedia.org/wiki/Jurina_Matsui,Jurina Matsui,松井 珠理奈
https://en.wikipedia.org/wiki/Emi_Hinouchi,Emi Hinouchi,日之内エミ
https://en.wikipedia.org/wiki/Mizuno_Tadakuni,Mizuno Tadakuni,水野 忠邦
https://en.wikipedia.org/wiki/H%C5%8Dj%C5%8D_Ujiyasu,Hōjō Ujiyasu,北条 氏康
https://en.wikipedia.org/wiki/Tokugawa_Mitsukuni,Tokugawa Mitsukuni,徳川 光圀
https://en.wikipedia.org/wiki/Beni_Arashiro,Beni Arashiro,安良城 紅
https://en.wikipedia.org/wiki/Toshiki_Kaifu,Toshiki Kaifu,海部 俊樹
https://en.wikipedia.org/wiki/It%C5%8D_Hirobumi,Duke Itō Hirobumi,伊藤 博文
https://en.wikipedia.org/wiki/Uesugi_Kagekatsu,Uesugi Kagekatsu,上杉 景勝
https://en.wikipedia.org/wiki/Adachi_Kagemori,Adachi Kagemori,安達 景盛
https://en.wikipedia.org/wiki/Emperor_K%C5%8Dbun,Emperor Kōbun,弘文天皇
https://en.wikipedia.org/wiki/Ai_Takahashi,Ai Takahashi,高橋 愛
https://en.wikipedia.org/wiki/Oda_Nobunaga,Oda Nobunaga,織田 信長
https://en.wikipedia.org/wiki/Goro_Inagaki,Goro Inagaki,稲垣 吾郎
https://en.wikipedia.org/wiki/Miyamoto_Musashi,Miyamoto Musashi,宮本 武蔵
https://en.wikipedia.org/wiki/Fujiwara_no_Hidesato,Fujiwara no Hidesato,藤原 秀郷
https://en.wikipedia.org/wiki/%C5%8Ckubo_Toshimichi,Ōkubo Toshimichi,大久保 利通
https://en.wikipedia.org/wiki/Emperor_Tenmu,Emperor Tenmu,天武天皇
https://en.wikipedia.org/wiki/Tokugawa_Ieharu,Tokugawa Ieharu,徳川家治
